Nose,Neck,RShoulder,RElbow,RWrist,LShoulder,LElbow,LWrist,RHip,RKnee,RAnkle,LHip,LKnee,LAnkle,REye,LEye,REar,LEar,Background,label
0,0,68,76,0,0,0,0,72,8,72,4,56,0,72,8,0,0,0,unknow
0,0,0,0,0,0,0,0,72,8,72,4,56,0,48,28,0,0,0,unknow
0,0,0,0,0,0,0,0,64,0,72,4,84,28,48,28,0,0,0,unknow
0,0,68,76,0,0,0,0,68,0,0,56,84,24,40,28,0,0,0,unknow
0,0,68,76,0,0,0,0,84,4,72,36,56,20,68,32,0,0,0,unknow
0,0,68,76,0,0,0,0,80,4,0,56,64,16,76,32,0,0,0,unknow
0,0,68,76,0,0,0,0,80,4,0,56,64,16,76,40,0,0,0,unknow
0,0,0,0,0,0,0,0,80,4,0,52,64,16,64,24,0,0,0,unknow
0,0,0,0,0,0,0,0,80,0,0,52,64,16,76,32,0,0,0,unknow
0,0,0,0,0,0,0,0,80,0,72,28,60,20,64,24,0,0,0,unknow
0,0,0,0,0,0,0,0,80,0,0,52,72,20,76,32,0,0,0,unknow
0,0,0,0,0,0,0,0,80,0,0,52,60,20,72,36,0,0,0,unknow
0,0,68,76,0,0,0,0,80,0,72,36,64,16,72,32,0,0,0,unknow
0,0,68,76,0,0,0,0,80,4,0,52,64,16,80,16,0,0,0,unknow
0,0,68,76,0,0,0,0,80,4,0,56,68,20,64,20,0,0,0,unknow
0,0,68,76,0,0,0,0,80,0,0,52,64,16,76,28,0,0,0,unknow
0,0,68,76,0,0,0,0,0,0,0,52,64,16,76,72,0,0,0,unknow
0,0,0,0,0,0,0,0,0,0,0,52,64,16,72,28,0,0,0,unknow
0,0,0,0,0,0,0,0,0,0,0,52,64,16,64,16,0,0,0,unknow
0,0,68,76,0,0,0,0,80,4,0,56,64,16,64,20,0,0,0,unknow
0,0,68,76,0,0,0,0,80,4,0,52,64,16,68,20,0,0,0,unknow
0,0,68,76,0,0,0,0,80,0,0,48,64,16,76,40,0,0,0,unknow
0,0,68,76,0,0,0,0,80,4,0,52,64,16,76,32,0,0,0,unknow
0,0,68,76,0,0,0,0,80,0,0,52,64,16,80,12,0,0,0,unknow
0,0,68,76,0,0,0,0,80,4,0,56,64,16,68,36,0,0,0,unknow
0,0,0,0,0,0,0,0,0,0,0,52,64,16,80,16,0,0,0,unknow
0,0,0,0,0,0,0,0,80,4,0,48,64,20,76,44,0,0,0,unknow
0,0,68,76,0,0,0,0,80,0,0,48,68,20,76,28,0,0,0,unknow
0,0,0,0,0,0,0,0,80,4,72,32,64,20,64,24,0,0,0,unknow
0,0,68,76,0,0,0,0,80,0,0,52,68,24,76,44,0,0,0,unknow
0,0,68,76,0,0,0,0,80,0,0,52,64,16,72,28,0,0,0,unknow
0,0,0,0,0,0,0,0,80,4,0,52,60,20,68,20,0,0,0,unknow
0,0,68,76,0,0,0,0,80,4,0,48,64,20,68,20,0,0,0,unknow
0,0,68,76,0,0,0,0,80,4,0,52,64,16,76,44,0,0,0,unknow
0,0,0,0,0,0,0,0,80,4,0,52,64,16,76,16,0,0,0,unknow
0,0,68,76,0,0,0,0,80,4,0,52,64,16,80,16,0,0,0,unknow
0,0,0,0,0,0,0,0,0,0,0,48,64,16,76,16,0,0,0,unknow
0,0,68,76,0,0,0,0,80,4,0,52,64,20,76,32,0,0,0,unknow
0,0,68,76,0,0,0,0,80,4,0,52,68,16,76,36,0,0,0,unknow
0,0,0,0,0,0,0,0,0,0,0,48,64,20,72,32,0,0,0,unknow
0,0,68,76,0,0,0,0,0,0,0,52,64,20,64,24,0,0,0,unknow
0,0,68,76,0,0,0,0,72,0,0,52,64,20,48,24,0,0,0,unknow
0,0,68,76,0,0,0,0,72,4,0,48,56,20,48,24,0,0,0,unknow
0,0,0,0,0,0,0,0,76,4,0,52,56,20,48,24,0,0,0,unknow
0,0,0,0,0,0,0,0,76,4,0,52,60,12,44,16,0,0,0,unknow
8,12,0,0,0,0,0,0,76,4,76,48,84,24,76,44,0,0,0,unknow
0,0,68,76,0,0,0,0,16,0,0,0,84,24,36,32,0,0,0,unknow
0,0,68,76,0,0,0,0,16,0,0,0,84,24,20,0,0,0,0,unknow
0,0,68,76,0,0,0,0,16,0,0,0,44,8,16,0,56,0,0,unknow
8,32,68,76,0,0,0,0,72,0,0,0,44,8,20,4,48,0,20,unknow
16,8,0,0,0,0,0,0,20,4,0,0,44,12,16,8,44,0,0,unknow
12,32,0,0,40,0,0,0,0,0,0,0,44,12,16,8,44,0,0,unknow
20,12,68,76,40,8,0,0,24,8,28,8,28,12,20,12,48,8,52,unknow
24,12,68,76,0,0,0,0,72,0,24,12,40,12,24,12,48,4,60,unknow
20,16,24,12,28,12,36,12,44,16,28,12,32,12,28,16,44,12,60,unknow
20,16,28,16,28,12,36,12,76,0,28,12,36,16,24,20,44,12,60,unknow
20,20,24,16,28,12,36,12,44,20,28,16,36,16,28,20,44,12,60,unknow
0,72,0,0,0,0,0,0,76,0,0,0,48,20,20,16,44,16,60,unknow
0,72,68,76,0,0,0,0,0,0,0,0,40,20,76,24,48,16,52,unknow
64,0,68,76,0,0,0,0,28,20,28,20,40,24,24,20,44,20,60,unknow
16,24,24,20,28,20,36,24,32,24,24,20,32,24,20,24,44,24,60,unknow
16,24,24,24,24,24,36,28,32,28,24,24,32,28,24,28,44,24,56,unknow
16,28,24,24,28,24,36,32,40,24,24,24,28,20,20,24,44,24,56,unknow
16,28,24,28,28,24,32,28,40,32,24,24,32,24,44,24,44,28,56,unknow
16,28,24,28,28,28,36,32,44,32,24,28,36,28,44,24,44,28,56,unknow
16,32,24,28,28,28,36,32,44,32,24,28,36,24,44,24,44,32,60,unknow
16,32,24,32,28,28,36,28,44,28,24,28,36,28,44,28,44,28,60,unknow
